State,City,Type_of_facilities,Address
NEW JERSEY,NEWARK,HOTELS,Dixie Chicken Club - 178 Orange St.
NEW JERSEY,NEWARK,HOTELS,Royal Palm - 123 Waverly Ave.
NEW JERSEY,NEWARK,HOTELS,Alpine - 197 W. Kinney St.
NEW JERSEY,NEWARK,TAVERNS,Alcaza - 72 Waverly Pl.
NEW JERSEY,NEWARK,TAVERNS,Bert's - 174 W. Kinny St.
NEW JERSEY,NEWARK,TAVERNS,Charles - 125 Broome St.
NEW JERSEY,NEWARK,TAVERNS,Dan's - 245 Academy St.
NEW JERSEY,NEWARK,TAVERNS,Dodgers - 8 Bedford Pl.
NEW JERSEY,NEWARK,TAVERNS,Little Jonny's - 47 Montgomery St.
NEW JERSEY,NEWARK,TAVERNS,Lestbaders - 175 Spruce St.
NEW JERSEY,NEWARK,TAVERNS,Kesselman's - 13th & Rutgers St.
NEW JERSEY,NEWARK,TAVERNS,Rosen's - 164 Spruce St.
NEW JERSEY,NEWARK,TAVERNS,Daves' - 202 Court St.
NEW JERSEY,NEWARK,TAVERNS,Reiff's - 94 So. Orange Ave.
NEW JERSEY,NEWARK,TAVERNS,Rim Tim Inn - 179 Orange St.
NEW JERSEY,NEWARK,TAVERNS,*Saul's - 60 Waverly Ave.*
NEW JERSEY,NEWARK,TAVERNS,The Hi Spot - 173 W. Kinny St.
NEW JERSEY,NEWARK,TAVERNS,Warren & Norfolk - 256 Warren St.
NEW JERSEY,NEWARK,TAVERNS,Woods - 258 Prinnce St.
NEW JERSEY,NEWARK,TAVERNS,Kleinbergs - 88 Waverly St.
NEW JERSEY,NEWARK,TAVERNS,Afro - 19 Quitman St.
NEW JERSEY,NEWARK,TAVERNS,Fishers - 192 Newark St.
NEW JERSEY,NEWARK,BARBER SHOPS,El Idelio - 28 Wright St.
NEW JERSEY,NEWARK,BARBER SHOPS,Teals - 137 Somerset St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Gomes - 230 W. Kinny St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,La Vogue - 227 W. Kinny St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Irene's - 125 Somerset St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Farrar - 35 Prince St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Billys' - 202 Belmont Ave.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Chapmans' - 96 Belmont Ave.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Jeanette - 105 1/2 W. Market St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Virginia Salon - 132 West St.
NEW JERSEY,NEWARK,BEAUTY PARLORS,Paris Salon - 368 Washington St.
NEW JERSEY,NEWARK,NIGHT CLUBS,Boston Plaza - 4 Boston St.
NEW JERSEY,NEWARK,NIGHT CLUBS,Little Brown Derby - 162 W. Kinny St.
NEW JERSEY,NEWARK,NIGHT CLUBS,Golden Inn - 150 Charleston St.
NEW JERSEY,NEWARK,NIGHT CLUBS,Nest Club - Warren & Newark St.
NEW JERSEY,NEWARK,NIGHT CLUBS,New Kinny Club - 36 Arlington St.
NEW JERSEY,NEWARK,NIGHT CLUBS,Villa Maurice - 375 Washington St.
NEW JERSEY,NEWARK,AUTOMOTIVE,Dixons' Auto Painting - 106 Charlton St.
NEW JERSEY,ORANGE,HOTELS,Y. M. C. A. - 84 Oakwood Ave.
NEW JERSEY,ORANGE,HOTELS,Y. W .C. A. - 66 Oakwool Ave.
NEW JERSEY,ORANGE,HOTELS,Oakwood Dep't - 84 Oakland Ave.
NEW JERSEY,ORANGE,RESTAURANTS,Triangle - 152 Parrow St.
NEW JERSEY,ORANGE,RESTAURANTS,Presto - 6 Main St.
NEW JERSEY,ORANGE,RESTAURANTS,Jeter's - 77 Parrow St.
NEW JERSEY,ORANGE,CHINESE RESTAURANTS,Orange Gardens - 132 Parrow St.
NEW JERSEY,ORANGE,NIGHT CLUBS,Dave & Manney's Paradise - Parrow & Chestnut Pl.
NEW JERSEY,ORANGE,NIGHT CLUBS,Forth - Second - 157 Parrow St.
NEW JERSEY,ORANGE,TAVERNS,Frank's - 120 Hickory St.
NEW JERSEY,ORANGE,TAILORS,Fitchitt - 99 Oakwood Ave.
NEW JERSEY,ORANGE,TAILORS,Triangle - 101 Hickory St.
NEW JERSEY,ORANGE,DRUG STORES,Bynum & Catlette - Parrow & Hickory Sts.
NEW JERSEY,PATERSON,HOTELS,Joymakers - 38 Bridge St.
NEW JERSEY,PATERSON,TAVERNS,Idle Hour Bar - 53 Bridge St.
NEW JERSEY,PATERSON,TAVERNS,Abes' - 98 Straight St.
NEW JERSEY,PATERSON,TAVERNS,Joymakers - 38 Bridge St.
NEW JERSEY,PATERSON,BEAUTY PARLORS,Jimmies - 581 E. 18th St.
NEW JERSEY,PATERSON,GARAGES,Browns' - 57 Godwin St.
NEW JERSEY,PERTH AMBOY,BARBER SHOP,Kellys' - 128 Fayette St.
NEW JERSEY,POINT PLEASANT,TAVERNS,Joe's - 337 Railroad Ave.
NEW JERSEY,PRINCETON,TOURIST HOMES,Mrs. Gregory - 28 Green St.
NEW JERSEY,PRINCETON,RESTAURANTS,Grigg's - 58-60 Witherspoon St.
NEW JERSEY,PRINCETON,BEAUTY PARLORS,Vanity Box - 188 John St.
NEW JERSEY,PLAINFIELD,TAVERNS,Liberty - 4th St.
NEW JERSEY,PLEASANTVILLE,TAVERNS,Harlem Inn - 1117 Wash. Ave.
NEW JERSEY,SOUTH ORANGE,AUTOMOTIVES,The Auto Mart - 341 Valley St.
NEW JERSEY,RED BANK,RESTAURANTS,Vincents Dining Room - 263 Shewsbury Ave.
NEW JERSEY,RED BANK,TAVERNS,West Bergen - 103 W. Bergen Pl.
NEW JERSEY,RED BANK,BARBER SHOPS,A. Dillard - 250 Shewsbury Ave.
NEW JERSEY,RED BANK,BEAUTY PARLORS,R. Alleyne - 124 W. Bergen Pl.
NEW JERSEY,RED BANK,BEAUTY PARLORS,Surles - 214 Shewsbury Ave.
NEW JERSEY,RED BANK,SERVICE STATION,Galatres - Shewsbury & Catherine
NEW JERSEY,RED BANK,TAILORS,Dudley's - 79 Sunset Ave.
NEW JERSEY,REVEYTOWN,HOTELS,Belmont Inn - Reveytown Rd.
NEW JERSEY,ROSELLE,TAVERNS,Alpha Bar - 302 E. 9th St.
NEW JERSEY,ROSELLE,TAVERNS,St. George - 1139 St. George Ave.
NEW JERSEY,SCOTCH PLAINS,RESTAURANTS,Hill Top - 60 Jerusalem Road
NEW JERSEY,SCOTCH PLAINS,ROAD HOUSES,Villa Casanova - Jerusalem Road
NEW JERSEY,SCOTCH PLAINS,COUNTRY CLUBS,Shady Rest Jerusalem Road
NEW JERSEY,SEA BRIGHT,RESTAURANTS,Essie Kings - 11 New St.
NEW JERSEY,SUMMIT,HOTELS,Y. M. C. A. - 393 Broad St.
NEW JERSEY,TRENTON,HOTELS,Y. M. C. A. - 105 Spring St.
NEW JERSEY,TRENTON,TOURIST HOMES,Mrs. C. Taylor - 92 Spring St.
NEW JERSEY,TRENTON,RESTAURANTS,Spot Sandwich Shop - 121 Spring Street
NEW JERSEY,TRENTON,BEAUTY PARLORS,Bea's - 83 Spring St.
NEW JERSEY,TRENTON,BEAUTY PARLORS,Geraldine's - 17 Trent St.
NEW JERSEY,TRENTON,BARBER SHOPS,Sanitary Barber Shop - 199 N. Willow St.
NEW JERSEY,TRENTON,BARBER SHOPS,"Charles Malloy, Prop."
NEW JERSEY,TRENTON,BARBER SHOPS,Bills - 81 Spring St.
NEW JERSEY,TRENTON,POOL PARLOR,Reid's - 219 Fall St.
NEW JERSEY,NEW BRUNSWICK,ROAD HOUSES,Kidd Eddy's - Route 27
NEW JERSEY,VAUX HALL,BEAUTY PARLORS,Celeste - 211 Springwood Ave.
NEW JERSEY,VAUX HALL,TAVERNS,Carnegie - 380 Carnegie Place
NEW JERSEY,VAUX HALL,ROAD HOUSES,Lloyd Chicken Farm - 26 Valley St.
NEW JERSEY,WEST PLEASANTVILLE,COUNTRY CLUBS,Pine Acres -
NEW JERSEY,WILDWOOD,HOTELS,Glen Oak - 100 E. Lincoln St.
NEW JERSEY,WILDWOOD,HOTELS,The Marion - Arctic & Spicer Aves.
NEW JERSEY,WILDWOOD,TOURIST HOMES,The Denmond - 129 W. Spicer Ave.
NEW JERSEY,WILDWOOD,TOURIST HOMES,Mrs. G. Stenson - 107 W. Roberts
NEW JERSEY,WILDWOOD,TOURIST HOMES,Mrs. A. H. Brown - 3811 Arctic
NEW JERSEY,WILDWOOD,TOURIST HOMES,Mrs. E. Crawley - 3816 Arctic
NEW JERSEY,WILDWOOD,TOURIST HOMES,Mrs. J. Quarles - 106 Cedar
NEW YORK STATE,ALBANY,TOURIST HOMES,Mrs. M. C. Williams - 18 Ten Broeck Pl.
NEW YORK STATE,ALBANY,TOURIST HOMES,Mrs. I. Dorsey - 25 Second St.
NEW YORK STATE,ALBANY,TOURIST HOMES,Mrs. Adams - 216 Hamilton St.
NEW YORK STATE,ALBANY,TOURIST HOMES,Mrs. G. Bedell - 23 Second St.
NEW YORK STATE,ALBANY,TOURIST HOMES,Mrs. C. Madison - 391 Orange St.
NEW YORK STATE,ALBANY,TOURIST HOMES,Mrs. A. J. Oliver - 42 Spring St.
NEW YORK STATE,BUFFALO,HOTELS,Y. M. C. A. - 585 Michigan Ave.
NEW YORK STATE,BUFFALO,HOTELS,Francis - Exchange St.
NEW YORK STATE,BUFFALO,HOTELS,Montgomery - 486 Michigan Ave.
NEW YORK STATE,BUFFALO,HOTELS,Vendome - 177 Clinton St.
NEW YORK STATE,BUFFALO,TOURIST HOMES,Mrs. F. Washington - 172 Clinton
NEW YORK STATE,BUFFALO,TOURIST HOMES,Mrs. G. Chase - 192 Clinton
NEW YORK STATE,BUFFALO,TOURIST HOMES,Wm. Campbell - 22 Milnor
NEW YORK STATE,BROOKLYN,HOTELS,Y. M. C. A. - 405 Carlton Ave.
NEW YORK STATE,BROOKLYN,TOURIST HOMES,Mrs. A. E. Bryan - 156 Leffets Pl.
NEW YORK STATE,BROOKLYN,RESTAURANTS,Dew Drop - 363 Halsey St.
NEW YORK STATE,BROOKLYN,RESTAURANTS,El Rose - 1093 Fulton St.
NEW YORK STATE,BROOKLYN,RESTAURANTS,Little Roxy - 490-A Summer Ave.
NEW YORK STATE,BROOKLYN,TAVERNS,Royal - 1073 Fulton St.
NEW YORK STATE,BROOKLYN,TAVERNS,Goodwill - 1942 Fulton St.
NEW YORK STATE,BROOKLYN,TAVERNS,Parkside - 759 Gates Ave.
NEW YORK STATE,BROOKLYN,TAVERNS,Palm Gardens - 491 Sumner Ave.
NEW YORK STATE,BROOKLYN,TAVERNS,Stuyvesant - Hancock & Lewis A.
NEW YORK STATE,BROOKLYN,WINES & LIQUOR STORES,Yak - 1361 Fulton St.
NEW YORK STATE,BROOKLYN,NIGHT CLUBS,Hanlew - 334 Lewis St.
NEW YORK STATE,BROOKLYN,NIGHT CLUBS,Lion's - 307 Ralph Ave.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,Bartleys - 1125 Fulton St.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,Lamae - 545 Classon Ave.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,Cloverleaf - 425 Gates Ave.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,Diddy's - 1518 Fulton St.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,Emma's - 1391 Fulton St.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,La. Roberts - 285 Grand Ave.
NEW YORK STATE,BROOKLYN,BEAUTY PARLORS,Bogans - 1720 Fulton St.
NEW YORK STATE,BROOKLYN,SCHOOLS OF BEAUTY CULTURE,J. K. - 417 Tompkins Ave.
NEW YORK STATE,BROOKLYN,SCHOOLS OF BEAUTY CULTURE,Ritz - 1358 Fulton St.
NEW YORK STATE,BROOKLYN,SCHOOLS OF BEAUTY CULTURE,Theresa - 304 Livonia Ave.
NEW YORK STATE,LONG ISLAND-CORONA,TAVERNS,Big George - 106 Northern Blvd.
NEW YORK STATE,LONG ISLAND-CORONA,TAVERNS,Prosperity - 32-19 - 103rd St.
NEW YORK STATE,FREEPORT,NIGHT CLUBS,Cotton Inn - 77 E. Sunrise Highway
NEW YORK STATE,HEMPSTEAD,TAVERNS,Eddie's - 28 S. Franklin St.
NEW YORK STATE,WESTBURY,TAVERNS,Josh's - 635 Union Ave.
NEW YORK STATE,"WESTCHESTER-
ELMSFORD",TAVERNS,"Clarke, 91 Saw Mill River Road"
NEW YORK STATE,NEW ROCHELLE,RESTAURANTS,"Betsy Ann, 442 North Ave."
NEW YORK STATE,NEW ROCHELLE,RESTAURANTS,"City Park, 521 5th Ave."
NEW YORK STATE,NEW ROCHELLE,RESTAURANTS,"Harris, 29 Morris St."
NEW YORK STATE,NEW ROCHELLE,RESTAURANTS,"Rogers, 50 Winyah"
NEW YORK STATE,NEW ROCHELLE,RESTAURANTS,"Week's, 68 Winyah"
NEW YORK STATE,NEW ROCHELLE,TAVERNS,"Bal-Mo-Ral, 56 Brook St."
NEW YORK STATE,NEW ROCHELLE,NIGHT CLUBS,"Sky Vue, Wingah & Brook St."
NEW YORK STATE,NEW ROCHELLE,BEAUTY PARLORS,"A. Berry, 50 DeWitts Pl."
NEW YORK STATE,NEW ROCHELLE,BEAUTY PARLORS,"B. Miller, 8 Brook Ave."
NEW YORK STATE,NEW ROCHELLE,BEAUTY PARLORS,"H. Johnson, 97 Winthrop Ave."
NEW YORK STATE,NEW ROCHELLE,BEAUTY PARLORS,"Maion's, 108 Winthrop Ave."
NEW YORK STATE,NEW ROCHELLE,BEAUTY PARLORS,"Ocie, 41 Rochelle Pl."
NEW YORK STATE,NEW ROCHELLE,BEAUTY PARLORS,"Orchid, 57 Winyah Ave."
NEW YORK STATE,NEW ROCHELLE,BARBER SHOPS,"The Royal Salon, 4 Brook Ave."
NEW YORK STATE,NEW ROCHELLE,BARBER SHOPS,Field's - 66 Winyah Ave.
NEW YORK STATE,NEW ROCHELLE,PHARMACY,Daniel's - 57 Winyah Ave.
NEW YORK STATE,MT. VERNON,RESTAURANTS,Dollie's - 160 So. 5th Ave.
NEW YORK STATE,MT. VERNON,RESTAURANTS,Friendship - 50 West 3rl St.
NEW YORK STATE,MT. VERNON,TAVERNS,Golden Lion - 162 So. 8th Ave.
NEW YORK STATE,MT. VERNON,ROAD HOUSES,"Mohawk Inn, 142 S. 7th Ave."
NEW YORK STATE,MT. VERNON,SCHOOL OF BEAUTY CULTURE,Okeh - 24 West 3rd St.
NEW YORK STATE,MT. VERNON,SCHOOL OF BEAUTY CULTURE,"Orchid, 48 W. 3rd St."
NEW YORK STATE,OSSINING,BEAUTY PARLOR,Leona's - 13 Hunter St.
NEW YORK STATE,TARRYTOWN,TAVERNS,Bridge Rendezvous - 40 Cortland St.
NEW YORK STATE,NORTH TARRYTOWN,BARBER SHOPS,"Lemon's, Valley St."
NEW YORK STATE,NORTH TARRYTOWN,BARBER SHOPS,"J. Brown, Valley St."
NEW YORK STATE,NORTH TARRYTOWN,BEAUTY PARLOR,"J. Prioleau, 88 Valley St."
NEW YORK STATE,TUCKAHOE,RESTAURANTS,"Major's, 48 Washington St."
NEW YORK STATE,TUCKAHOE,RESTAURANTS,"Butterfly Inn, 47 Washington St."
NEW YORK STATE,TUCKAHOE,BARBER SHOPS,"Al's, 144 Main St."
NEW YORK STATE,TUCKAHOE,BEAUTY PARLORS,"Shahana, 144 Main St."
NEW YORK STATE,YONKERS,ROAD HOUSES,Peacock - 930 Central Park Ave.
NEW YORK STATE,WHITE PLAINS,RESTAURANTS,"Goody Shop, Brookfield St."
NEW YORK STATE,WHITE PLAINS,RESTAURANTS,Lloyd's - 88 Martine Ave.
NEW YORK STATE,WHITE PLAINS,ROAD HOUSES,Walnards - 81 Martine Ave.
NEW YORK STATE,WHITE PLAINS,BEAUTY PARLORS,"Marie's, 94 Brookfield St."
NEW YORK STATE,NEW YORK CITY,HOTELS,HOTEL CECIL
NEW YORK STATE,NEW YORK CITY,HOTELS,210 WEST 118th ST.
NEW YORK STATE,NEW YORK CITY,HOTELS,El - Melrah - 21 West 135th St.
NEW YORK STATE,NEW YORK CITY,HOTELS,Martha - 6 West 135th St.
NEW YORK STATE,NEW YORK CITY,HOTELS,Garrett House - 314 West 127th St.
NEW YORK STATE,NEW YORK CITY,HOTELS,Press - 23 West 135th St.
NEW YORK STATE,NEW YORK CITY,HOTELS,HOTEL THERESA 125th ST. & 7th AVE.
NEW YORK STATE,NEW YORK CITY,HOTELS,Y. M. C. A. - 180 West 135th St.
NEW YORK STATE,NEW YORK CITY,HOTELS,Y. W. C. A. - 175 West 137th St.
NEW YORK STATE,NEW YORK CITY,HOTELS,Currie - 101 West 145th St.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Ideal - 247 West 145th St.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Jimmie's Chicken Shack - 763 St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Craig's - 55 St. Nicholas Place
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Little Gray Shop - 2465 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Lou's Kitchen - 2297 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Pete's - 2534 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Tillie's - 227 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Virginia - 271 West 119th St.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Hubb - 1070 Union ave.
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,"Ruths - 105 Lenox Ave,"
NEW YORK STATE,NEW YORK CITY,RESTAURANTS,Lulu Belle - 229 West 125th St.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Old Time Tavern - 2160 - 5th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,International - 2150 - Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Arthur's - 2481 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Big Apple - 2300 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Bird Cage - 2308 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Blue Heaven - 378 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Brittwood - 594 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Calvacade - 2104 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Chick's - 148th St. & 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Colonial Krazy House - 116 Bradhurst Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Eddie's – 714 St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Elk Scene – 469 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Hot-Cha – 2280 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Jay's – 400 W. 148th St.
NEW YORK STATE,NEW YORK CITY,TAVERNS,La Mar Cheri – 739 St. Nich. Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Logas – 2496 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Moon Glow – 220 W. 145th St.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Monte Carlo – 2247 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Murrain – 635 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Orange Blossom – 570 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Pedro Montanez – 22 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Speedway – 92 St. Nicholas Place
NEW YORK STATE,NEW YORK CITY,TAVERNS,Victoria – 2418 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,721 Saint Nicholas Ave. Grill.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Fat Man – St. Nich. Ave. & 155 St.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Mayfair – 773 St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Wellsworth's – Cor. 126th St. & 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAVERNS,Jimmie Daniels – 114 W. 116th St.
NEW YORK STATE,NEW YORK CITY,GARAGES,Viaduct – 101 Macombs Place.
NEW YORK STATE,NEW YORK CITY,GARAGES,Colonial Park – 310 W. 144th St.
NEW YORK STATE,NEW YORK CITY,GARAGES,SCHOOL OF BEAUTY CULTURE
NEW YORK STATE,NEW YORK CITY,GARAGES,Apex – 200 W. 135th St.
NEW YORK STATE,NEW YORK CITY,GARAGES,Mme. C. J. Walker – 239 W. 125th St.
NEW YORK STATE,NEW YORK CITY,HABERDASHER,James – 2255 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,NIGHT CLUBS,Small's Paradise – 2294 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,NIGHT CLUBS,Capitol – 115 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,NIGHT CLUBS,Elks Rendezvous – 133rd St. Lenox Avenue.
NEW YORK STATE,NEW YORK CITY,NIGHT CLUBS,Harlem Hollywood – 105 W. 116th St.
NEW YORK STATE,NEW YORK CITY,NIGHT CLUBS,Vincent's – 2120 Madison Ave.
NEW YORK STATE,NEW YORK CITY,DANCE HALLS,Savoy – Lenox Ave. and 140th St.
NEW YORK STATE,NEW YORK CITY,DANCE HALLS,Goldn Gate – Lenox Ave. 142 St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Bee's – 202 W. 130th St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Josephine's – 202 W. St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Myers & Griffin – 65 W. 134th St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Your Pal – 222 W. 133rd St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,National – 301 W. 144th St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Neuway – 143 W. 116th St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Millicent – 301 W. 141st St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,A. L. Smith – 2411 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Oneda's – 231 Edgecombe Ave.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Sibley's – 301 West 126th St.
NEW YORK STATE,NEW YORK CITY,BEAUTY PARLORS,Beard's – 322 St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,MILLINERY,Beulah's – 296 Manhattan Ave.
NEW YORK STATE,NEW YORK CITY,MILLINERY,Ira's – 2441 – 7th Ave.
NEW YORK STATE,NEW YORK CITY,TAILORS,La Fontaine - 470 Convent Ae.
NEW YORK STATE,NEW YORK CITY,TAILORS,Little Alpha - 84 West 120th St.
NEW YORK STATE,NEW YORK CITY,TAILORS,L. D. Colley - 100 W. 134th St.
NEW YORK STATE,NEW YORK CITY,RADIO SERVICE,Joe's - 15 West 133rd St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Davis - 69 West 138th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Renaissance - 2349 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Delux - 2799 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Bob Cary's - 2521 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Spooner's - 2435 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,A. McCargo - 242 West 145th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,B. Garrett - 2311 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Eldorado - 203 West 116th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Esquire - 2265 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Hi-Hat - 2276 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Hoghie Rayford - 2013 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,H. Parks - 200 West 146th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Latin American - 2395 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Leon & Teddy's - 353 W. 145th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Lud - 166 West 116th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Park Lane - 2206 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Manhattan - 2456 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Modernistic - 2132 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Roxy - 2322 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Royal - 749 St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,Edean - 237 West 145th St.
NEW YORK STATE,NEW YORK CITY,BARBER SHOPS,World - 2621 - 8th Ave.
NEW YORK STATE,NEW YORK CITY,ROAD HOUSES,Speedway Gardens - 31 Dykeman St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Allens - 147 West 145th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Savoy Tire Shop - 612 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,J. Jones - 120 West 145th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Andy Radiator - 416 West 127th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,A. Eastmond - 31 West 144th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,C. Jones - 25 East 136th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Daly Bros. - 485 St. Nicholas Ave.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Green's Auto - 110 West 145th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,L. Martinez - 612 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Meisel Tire - 2079 - 7th Ave.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Nathan Auto Parts - 34 W. 145th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Simons Supply - 133 W. 145th St.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Ullman & Hauser - 27 St. Claire Pl.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,W. J. McAvoy - 703 Lenox Ave.
NEW YORK STATE,NEW YORK CITY,AUTOMOTIVES,Gordon Seale - 155 W. 145th St.
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"CITY HALL at Broadway,  Park Row and Chambers Street. It is the seat of government of the great metropolis and can be visited by the public from 10 o'clock A. M. to 4 P. M. daily."
NEW YORK STATE,NEW YORK CITY,POINTS OF INTEREST IN NEW YORK CITY,"CENTRAL PARK,  which is the largest park in the city is located at 5th Avenue and Central Park West, 59th to 110th Streets. It contains 862 acres of which is water. It is 2 1/2 miles long and half a mile wide. It contains a Zoological Park and many play grounds."
